"ccn","impute_discharge","impute_drg100","impute_drg101","impute_neuro1","impute_neuro2","total_discharges","drg_100","drg_101","total_beds_min","total_beds_max","cec","num_neuro_afl_1","num_neuro_afl_2","zip","estimation"
"290053",0,0,0,1,1,1196,0,0,130.3,202.1,0,3,1,89113,144
"290054",0,0,0,0,0,2591,17,19,262,339,0,3,4,89149,519
"290056",0,0,0,1,1,71,0,0,0,30,0,1,2,89148,19
"290057",0,0,0,0,0,2183,0,17,218.6,373,0,1,3,89011,344
"290058",0,0,0,1,1,69,0,0,44.6,55.4,0,1,1,89031,30
"291300",1,1,1,1,1,41,0,0,11,79.6,0,1,2,89415,29
"291301",1,1,1,1,1,60,0,0,7.1,10,0,2,1,89451,12
"291302",1,1,1,1,1,1979,0,0,25.7,38.7,0,2,3,89301,125
"291303",1,1,1,1,1,55,0,0,8.6,10,0,2,2,89820,26
"291304",1,1,1,1,1,40,0,0,14.6,32.3,0,1,1,89419,12
"291306",1,1,1,0,0,382,0,0,20.4,30,0,1,3,89410,54
"291307",1,1,1,0,1,63,0,0,30,35,0,1,1,89027,21
"291308",1,1,1,1,1,38,0,0,25,40,0,2,1,89445,24
"291309",1,1,1,0,1,325,0,0,19,40,0,2,1,89005,32
"291311",1,1,1,1,1,16,0,0,21.4,25,0,2,1,89048,19
"291312",1,1,1,1,1,60,0,0,6,14.1,0,2,1,89008,12
"291313",1,1,1,1,1,1445,0,0,35.1,44.3,0,2,5,89406,136
"291314",1,1,1,1,1,173,0,0,14,55.9,0,2,1,89447,25
"291500",1,1,1,1,1,448,0,0,0,40,0,2,2,89119,41
"291521",1,1,1,1,1,103,0,0,12,12,0,2,1,89118,16
"292002",1,1,1,1,1,7595,20,37,101.6,1047.4,0,29,26,89146,1268
"292003",1,1,1,1,1,220,0,0,45.1,101.6,0,1,1,89106,42
"292004",1,1,1,1,1,40,0,0,15,29.6,0,1,1,89434,12
"292006",1,1,1,1,1,662,0,0,63,70,0,2,2,89128,83
"292007",1,1,1,1,1,96,0,0,9.3,24,0,2,2,89121,30
"292008",1,1,1,1,1,574,0,0,29,32,0,1,1,89703,39
"292009",1,1,1,1,1,189,0,0,14.9,54.1,0,2,1,89109,26
"300001",0,0,0,0,0,4290,0,17,221.3,264,0,19,1,3301,489
"300005",0,0,0,0,0,1211,0,0,67.9,99,0,3,6,3246,169
"300011",0,0,0,0,0,1483,0,0,148,202,0,4,8,3060,262
"300012",0,0,0,0,0,3638,12,28,293,390,0,15,4,3103,662
"300014",0,0,0,0,0,701,0,0,85,103,0,1,5,3867,133
"300017",0,0,0,0,0,1281,0,0,86,104,0,3,2,3038,127
"300018",0,0,0,0,0,2018,0,0,206,248,0,10,1,3820,257
"300019",0,0,0,0,0,1604,0,15,103.3,185.9,0,5,6,3431,297
"300020",0,0,0,0,1,2319,0,14,183,217.9,0,6,2,3060,314
"300023",0,0,0,0,0,1902,0,0,100,100,0,4,2,3833,163
"300029",0,0,0,0,0,3239,13,28,215,236,0,13,5,3801,599
"300034",0,0,0,0,0,4348,0,18,326,326,0,8,8,3102,585
"301300",1,1,1,1,1,24,0,0,10,10,0,2,1,3576,12
"301301",1,1,1,0,1,126,0,0,24.1,35,0,1,1,3785,20
"301302",1,1,1,0,1,26,0,0,25,77,0,3,1,3561,33
"301303",1,1,1,0,1,258,0,0,23.3,25,0,1,1,3584,24
"301304",1,1,1,1,1,223,0,0,19.4,34,0,2,1,3257,27
"301305",1,1,1,0,0,2279,0,14,39,39,0,4,4,3766,237
"301306",1,1,1,1,1,15,0,0,24.3,43,0,1,2,3235,30
"301307",1,1,1,0,0,226,0,0,43,45,0,1,2,3860,48
"301308",1,1,1,0,0,351,0,0,17.7,32.4,0,1,1,3743,25
"301309",1,1,1,0,0,401,0,0,23.7,25,0,1,3,3458,56
"301310",1,1,1,0,0,426,0,0,16.9,25,0,3,1,3570,38
"301311",1,1,1,0,0,112,0,0,25,38,0,1,1,3264,20
"301312",1,1,1,0,0,254,0,0,25,39,0,1,2,3894,39
"310002",0,0,0,0,0,2320,13,18,472,472.7,0,6,3,7112,599
"310003",0,0,0,0,1,1445,0,0,169.4,236,0,4,1,7047,182
"310005",0,0,0,0,0,2753,19,18,201,201,0,8,4,8822,516
"310006",0,0,0,0,0,1258,0,0,184,461.6,0,2,3,7055,224
"310009",0,0,0,0,0,2524,0,25,455,455,0,6,4,7109,562
"310010",0,0,0,0,0,4096,0,30,287.6,376.7,0,22,1,8536,609
"310011",0,0,0,0,1,2303,11,0,125,125,0,4,1,8210,250
"310012",0,0,0,0,0,6711,30,42,455.4,484.3,0,29,4,7450,1133
"310016",0,0,0,0,0,983,0,0,140,173.7,0,2,1,7306,131
"310017",0,0,0,0,0,3179,15,23,142.7,242.1,0,7,1,7444,462
"310019",0,0,0,0,0,5107,28,46,631,1217.3,0,23,6,7503,1243
"310021",0,0,0,0,1,448,0,0,57.9,216.1,0,3,1,8629,82
"310022",0,0,0,0,0,8899,0,33,449.7,717,0,6,14,8043,1007
"310024",0,0,0,0,0,1412,0,0,109,165.1,0,2,1,7065,131
"310025",0,0,0,0,0,1378,0,15,156,271,0,3,5,7002,299
"310027",0,0,0,0,0,1155,0,19,132.3,222.3,0,10,1,7207,280
"310028",0,0,0,0,0,3008,22,27,163.3,193,0,8,4,7860,570
"310029",0,0,0,0,0,3406,13,17,277.4,340,0,5,8,8103,587
"310031",0,0,0,1,1,1461,0,0,89,104,0,2,3,8015,143
"310032",0,0,0,0,0,4892,20,43,466,905.5,0,4,15,8360,1063
"310034",0,0,0,0,0,3734,13,11,224.6,417.1,0,10,10,7701,609
"310039",0,0,0,0,0,2886,0,12,172.3,369.9,0,10,3,8861,375
"310040",0,0,0,0,1,405,0,0,178,235,0,4,2,7030,159
"310044",0,0,0,0,0,1454,0,0,220,276.7,0,11,7,8534,332
"310045",0,0,0,0,0,4668,0,15,310.6,357.6,0,19,2,7631,561
"310047",0,0,0,0,0,2951,0,22,246.9,251.8,0,6,2,8244,412
"310048",0,0,0,0,0,4255,14,34,298,345.1,0,12,1,8876,668
"310050",0,0,0,0,0,3873,20,17,230.6,607.1,0,18,9,7834,747
"310052",0,0,0,0,0,6396,0,17,284.1,923.4,0,4,17,8724,806
"310054",0,0,0,0,0,2891,0,19,158.3,319,0,8,3,7042,385
"310057",0,0,0,0,0,4071,16,39,285.3,389,0,7,3,8060,695
"310058",0,0,0,0,0,315,0,0,488,488,0,6,1,7652,334
"310060",0,0,0,0,0,1467,0,19,86,104,0,2,4,8865,249
"310061",0,0,0,0,0,1510,0,18,112,170.5,0,4,2,8046,251
"310064",0,0,0,0,0,9136,19,51,427.6,631.1,0,21,3,8401,1145
"310069",0,0,0,0,0,695,0,0,96,130,0,5,6,8318,178
"310070",0,0,0,0,0,2669,0,22,411,599,0,3,10,8901,612
"310073",0,0,0,0,0,8506,30,24,482,717.6,0,28,9,7754,1214
"310074",0,0,0,0,0,1573,0,19,359.9,414,0,9,6,7302,489
"310075",0,0,0,0,0,2193,12,17,319.3,353.4,0,14,1,7740,515
"310081",0,0,0,1,1,2675,14,0,150,331.1,0,6,10,8096,452
"310083",0,0,0,0,0,873,0,12,202,202,0,6,1,7018,243
"310084",0,0,0,0,0,1536,0,14,109,169,0,6,3,8701,256
"310086",0,0,0,0,0,9131,37,72,689.5,842,0,21,9,8084,1595
"310091",0,0,0,0,1,852,0,0,73.9,268.9,0,1,1,8079,100
