"ccn","total_discharges","drg_100","drg_101","total_beds_min","total_beds_max","cec","num_neuro_afl_1","num_neuro_afl_2"
"162003",426,0,0,24.3,30,0,2,1
"170006",728,0,0,80.3,89,0,2,1
"170009",415,0,0,22.7,45.1,0,2,1
"170012",2539,0,18,376,376,0,8,1
"170013",1934,0,0,206,213.7,0,1,3
"170014",361,0,0,56,56,0,1,1
"170016",2106,0,0,245.9,247,0,2,5
"170017",273,0,0,7.7,48,0,2,3
"170020",1913,0,0,0,190,0,2,1
"170023",708,0,0,112,309.1,0,1,1
"170027",410,0,0,18.9,35,0,1,1
"170040",10717,35,90,977,1066,1,71,5
"170049",2798,0,0,292.3,303,0,5,3
"170068",431,0,0,40,53.4,0,2,8
"170074",105,0,0,30.3,47,0,1,1
"170075",33,0,0,12,18,0,1,2
"170086",8316,34,47,395.6,472,0,14,3
"170103",621,0,0,97.8,103,0,2,1
"170104",3988,0,0,335,445,0,10,1
"170105",187,0,0,49,49,0,2,1
"170109",90,0,0,38.3,39,0,2,1
"170110",15,0,0,31,41.1,0,1,1
"170120",572,0,0,56,86,0,1,1
"170122",9782,29,93,1016,1647,1,18,4
"170123",4720,38,40,674,844,0,7,6
"170133",186,0,0,9,9,0,2,1
"170137",1870,0,16,193,252,0,7,6
"170142",1078,0,0,84,98,0,3,4
"170145",308,0,0,45,52,0,1,1
"170146",1906,12,0,112.1,166,0,2,2
"170150",123,0,0,8.3,44,0,1,1
"170166",13,0,0,6.7,22,0,2,1
"170175",243,0,0,24,36,0,1,1
"170176",2038,12,24,379,423,0,4,6
"170182",2483,0,0,175,209,0,6,1
"170183",860,0,0,30,30.4,0,2,3
"170185",1838,0,0,158.3,237,0,2,12
"170186",1029,0,0,54,54,0,1,1
"170187",453,0,0,16,16,0,2,2
"170188",448,0,0,0,17,0,2,3
"170190",332,0,0,7.4,13,0,2,1
"170191",369,0,0,25.9,33,0,2,2
"170194",13,0,0,7.7,9,0,2,1
"170196",948,0,0,34,35,0,5,1
"170197",945,0,0,56,79,0,1,2
"170198",144,0,0,8.6,10,0,2,1
"170199",18,0,0,7.2,9,0,1,1
"170200",402,0,0,58,58,0,1,2
"170202",1098,0,0,78,99,0,1,2
"170203",750,0,0,4,57,0,1,3
"170204",220,0,0,16,31,0,2,1
"171300",40,0,0,25,25,0,2,1
"171301",40,0,0,25,25,0,2,1
"171303",254,0,0,25,25,0,2,1
"171304",343,0,0,25,25,0,2,1
"171306",155,0,0,10.7,12,0,1,1
"171307",72,0,0,10,14,0,2,1
"171308",404,0,0,17,33,0,6,1
"171309",1008,11,0,25,525,0,1,4
"171310",309,0,0,15,16,0,2,1
"171311",278,0,0,19,29,0,2,1
"171312",177,0,0,12,12,0,1,2
"171313",202,0,0,0,25,0,2,1
"171314",131,0,0,5.7,8,0,1,1
"171315",117,0,0,22,25,0,1,1
"171316",431,0,0,13.3,17,0,2,4
"171317",202,0,0,5.3,12,0,2,1
"171318",1081,0,0,20,22,0,3,1
"171319",198,0,0,14,20,0,1,1
"171321",18,0,0,0,20,0,2,2
"171322",51,0,0,22,25,0,2,2
"171323",325,0,0,14,25,0,1,1
"171324",150,0,0,15,15,0,2,1
"171325",26,0,0,15,15,0,1,1
"171326",111,0,0,20.4,22,0,2,1
"171327",112,0,0,18,18.7,0,2,1
"171328",562,0,0,21,33,0,2,1
"171329",186,0,0,10,14,0,2,1
"171330",325,0,0,28,39,0,1,1
"171331",90,0,0,8.3,10,0,2,1
"171332",161,0,0,15,19,0,2,1
"171333",538,0,0,23,39,0,1,2
"171334",268,0,0,27,27,0,1,1
"171335",136,0,0,5,25,0,1,1
"171336",288,0,0,25,26,0,1,1
"171337",270,0,0,21,21,0,2,1
"171338",147,0,0,15,20,0,2,1
"171339",16,0,0,20,30,0,2,1
"171340",62,0,0,25,29,0,2,1
"171341",14,0,0,21.4,25,0,2,1
"171342",46,0,0,17.9,25,0,2,1
"171343",203,0,0,13,14,0,2,1
"171344",112,0,0,15,15,0,1,1
"171345",178,0,0,10.3,18,0,2,1
"171346",68,0,0,16,16,0,2,1
"171347",13,0,0,13,13,0,2,1
"171348",13,0,0,21.4,222.1,0,1,2
"171349",147,0,0,5,25,0,1,1
"171350",13,0,0,25,25,0,2,2
"171351",332,0,0,10.5,25,0,1,1
"171352",40,0,0,10.3,12,0,2,1
"171353",230,0,0,15,25,0,1,1
"171354",219,0,0,5.5,32,0,2,1
"171355",61,0,0,17.8,29,0,2,1
"171356",126,0,0,10,20,0,2,1
"171357",136,0,0,8,15,0,2,1
"171358",136,0,0,5.9,24,0,1,1
"171359",84,0,0,18,22,0,1,2
"171360",80,0,0,13.7,16,0,2,2
"171361",41,0,0,15,25,0,1,1
"171362",144,0,0,27.5,39,0,2,1
"171363",142,0,0,23.3,25,0,2,1
"171364",387,0,0,16,16,0,1,1
"171365",12,0,0,25,25,0,1,1
"171367",101,0,0,21,21,0,2,1
"171368",173,0,0,10.5,14,0,1,2
"171369",223,0,0,11,35,0,2,1
"171370",121,0,0,0,25,0,2,1
"171371",150,0,0,12,25,0,2,1
"171372",817,0,0,24.3,25,0,2,2
"171373",47,0,0,13,20,0,1,1
"171374",238,0,0,25,29,0,2,1
