"ccn","impute_discharge","impute_drg100","impute_drg101","impute_neuro1","impute_neuro2","total_discharges","drg_100","drg_101","total_beds_min","total_beds_max","cec","num_neuro_afl_1","num_neuro_afl_2","zip"
"520057",0,0,0,1,1,593,0,0,26.4,135,0,2,7,"53913"
"520059",0,0,0,0,0,405,0,0,48,59,0,1,1,"53105"
"520062",0,0,0,1,1,599,0,0,106,106,0,6,7,"53066"
"520063",0,0,0,0,0,881,0,0,71,108,0,2,7,"53095"
"520066",0,0,0,0,0,1374,0,0,0,240,0,19,3,"53548"
"520070",0,0,0,0,0,4065,19,19,204,350,1,24,2,"54703"
"520071",0,0,0,0,0,388,0,0,32,32,0,3,1,"53538"
"520075",0,0,0,0,0,1429,0,13,176.4,362,0,7,4,"54301"
"520076",0,0,0,0,0,302,0,0,36,60,0,1,2,"53916"
"520078",0,0,0,0,0,621,0,0,70,260,0,8,1,"53215"
"520083",0,0,0,0,0,6345,19,20,282,462,0,23,3,"53715"
"520087",0,0,0,0,0,2890,0,13,372,390,0,24,4,"54601"
"520088",0,0,0,0,1,1022,0,11,101.4,161.1,0,8,1,"54935"
"520089",0,0,0,0,0,2923,13,16,325.2,393.4,0,5,20,"53715"
"520091",0,0,0,1,1,539,0,0,42,60,0,1,2,"54568"
"520095",0,0,0,1,1,580,0,0,28,68,0,1,1,"53578"
"520096",0,0,0,0,0,2228,16,28,227,287,0,13,4,"53405"
"520097",0,0,0,1,1,359,0,0,57.8,167,0,2,1,"54303"
"520098",0,0,0,0,1,9371,40,52,600.6,695,1,73,12,"53792"
"520100",0,0,0,0,0,1008,0,0,140,140,0,5,2,"53511"
"520102",0,0,0,1,1,445,0,0,57,142,0,1,7,"53121"
"520103",0,0,0,0,0,1990,0,0,175,290,0,5,12,"53051"
"520107",0,0,0,0,1,437,0,0,37,67,0,3,1,"54221"
"520109",0,0,0,0,1,138,0,0,26,34,0,1,1,"53948"
"520113",0,0,0,0,0,722,0,0,58,97,0,1,3,"54143"
"520116",0,0,0,0,1,446,0,0,39,75,0,3,1,"53098"
"520136",0,0,0,0,0,1986,0,17,197.7,346,0,7,3,"53210"
"520138",0,0,0,0,0,9307,22,52,909,1089.3,1,33,6,"53215"
"520139",0,0,0,0,0,1495,0,0,223,296,0,3,5,"53227"
"520160",0,0,0,0,0,1259,0,0,68.1,159.3,0,1,5,"54911"
"520177",0,0,0,0,0,7039,38,90,717.4,980,1,80,3,"53226"
"520189",0,0,0,0,0,1057,0,22,115,180,0,5,4,"53142"
"520193",0,0,0,0,0,1451,0,14,181,237,0,7,2,"54311"
"520194",0,0,0,1,1,425,0,0,30,30,0,1,1,"53212"
"520196",0,0,0,0,1,226,0,0,30,30,0,3,3,"54720"
"520198",0,0,0,0,1,367,0,0,75,119,0,2,1,"54904"
"520202",0,0,0,0,0,879,0,0,52,91,0,5,3,"54476"
"520205",0,0,0,1,1,426,0,0,0,34,0,2,1,"53132"
"520206",0,0,0,0,0,628,0,0,111,146,0,6,1,"53066"
"520207",0,0,0,0,0,1399,0,0,136,190.4,0,4,6,"53024"
"520208",0,0,0,0,0,771,0,0,44.9,97,0,2,2,"53546"
"520210",0,0,0,0,1,253,0,0,43,63.5,0,7,1,"54701"
"520212",1,1,1,0,0,110,0,0,14,27.7,0,1,2,"54548"
"520213",1,1,1,1,1,426,0,0,8,16,0,2,3,"53151"
"521300",1,1,1,1,1,150,0,0,10,36,0,2,1,"54521"
"521302",1,1,1,0,0,501,0,0,28.4,34,0,1,1,"54758"
"521303",1,1,1,0,1,12,0,0,4.9,18,0,2,1,"54984"
"521304",1,1,1,1,1,129,0,0,25,25,0,2,1,"54634"
"521305",1,1,1,0,0,194,0,0,31.7,50,0,1,3,"54656"
"521307",1,1,1,1,1,155,0,0,20.7,42.3,0,2,1,"54736"
"521308",1,1,1,0,1,360,0,0,24.6,46,0,3,1,"54001"
"521309",1,1,1,1,1,348,0,0,25,25,0,2,3,"53934"
"521310",1,1,1,1,1,13,0,0,10.7,43,0,1,1,"54154"
"521311",1,1,1,1,1,81,0,0,8.6,35,0,1,1,"54768"
"521312",1,1,1,0,1,325,0,0,22.3,25,0,2,2,"53530"
"521313",1,1,1,1,1,202,0,0,6,21,0,1,2,"54487"
"521314",1,1,1,1,1,822,0,0,20.4,28,0,1,1,"54724"
"521315",1,1,1,1,1,813,0,0,35.1,49,0,1,1,"54812"
"521316",1,1,1,1,1,1479,0,11,15,25,0,8,3,"54773"
"521317",1,1,1,0,1,186,0,0,13.1,20,0,1,1,"53014"
"521318",1,1,1,1,1,18,0,0,6,13.9,0,2,1,"54020"
"521319",1,1,1,1,1,38,0,0,23.7,25,0,1,2,"53534"
"521320",1,1,1,1,1,152,0,0,20.6,25,0,2,1,"54660"
"521321",1,1,1,1,1,42,0,0,8.7,50,0,1,1,"54971"
